iter	MultiClass
186	0.009774624269
187	0.009722340443
188	0.009630269737
189	0.009524941709
190	0.00937658436
191	0.009235053374
192	0.009140911704
193	0.009063114177
194	0.008957843455
195	0.008875477255
196	0.008787024577
197	0.008708073543
198	0.008571524872
199	0.008473734193
200	0.008397522512
201	0.008300532269
202	0.008201446479
203	0.008110320029
204	0.008029878259
205	0.007983151529
206	0.007911622718
207	0.007848257997
208	0.0078072409
209	0.007769622749
210	0.007720191704
211	0.007644464715
212	0.007580175706
213	0.007532303148
214	0.007483531507
215	0.007441799101
216	0.007386823715
217	0.00732931798
218	0.007278325995
219	0.007239466468
220	0.007175842062
221	0.007121635411
222	0.007081269299
223	0.007035610714
224	0.006985461809
225	0.006926399407
226	0.006858792326
227	0.006807620447
228	0.006766611478
229	0.006722545539
230	0.006675006511
231	0.006641865985
232	0.006576694095
233	0.006526793431
234	0.006502419272
235	0.006451026596
236	0.006419697239
237	0.006378557375
238	0.006347550472
239	0.006305895628
240	0.006235682921
241	0.006182578188
242	0.006144481343
243	0.006110997236
244	0.006084937511
245	0.006041065737
246	0.006003930025
247	0.005968744129
248	0.005923528532
249	0.005889337822
250	0.005845706049
251	0.005819097186
252	0.005773742299
253	0.005750306102
254	0.005726314854
255	0.005686171811
256	0.005648367716
257	0.005610422724
258	0.005575176437
259	0.005528949277
260	0.005484009629
261	0.00545850104
262	0.005441213115
263	0.005413955351
264	0.005393733606
265	0.005369690116
266	0.005333932954
267	0.005297738481
268	0.00523305559
269	0.005199965555
270	0.005177741083
271	0.005154933501
272	0.005125041654
273	0.005102218736
274	0.0050879356
275	0.005064226361
276	0.005037537076
277	0.005014548749
278	0.004989061703
279	0.004971763788
280	0.004948554891
281	0.004922988163
282	0.004898369075
283	0.004877726509
284	0.004862055853
285	0.004843261537
286	0.004830860726
287	0.004803510271
288	0.004788584261
289	0.004769315466
290	0.004750251416
291	0.004714036789
292	0.004694496758
293	0.00467877484
294	0.004656447237
295	0.004643777269
296	0.004621414233
297	0.004593316758
298	0.004558218421
299	0.004544710138
300	0.004520319314
301	0.004496177469
302	0.004477925097
303	0.004463234997
304	0.004445197416
305	0.004425509144
306	0.004398501768
307	0.004380327041
308	0.004357264957
309	0.004342832685
310	0.004330240022
311	0.004319501415
312	0.004298172177
313	0.004279392356
314	0.004257938914
315	0.004244365903
316	0.004230558234
317	0.004216207461
318	0.004200834686
319	0.004185732874
320	0.004168018689
321	0.004153881468
322	0.004133669748
323	0.004119909274
324	0.004096569255
325	0.00408281584
326	0.004063172383
327	0.004047803568
328	0.004032560619
329	0.004009205585
330	0.003993159658
331	0.003971070453
332	0.003955971864
333	0.003944486
334	0.00393006413
335	0.003921238804
336	0.003911985224
337	0.003896570258
338	0.003884781377
339	0.003858114146
340	0.003844823945
341	0.00383189322
342	0.003821633493
343	0.003793391064
344	0.003779391273
345	0.003766319073
346	0.00375551996
347	0.003744544156
348	0.003727364161
349	0.003716463607
350	0.003705746634
351	0.003691139917
352	0.003680704166
353	0.003673434008
354	0.003655799081
355	0.003641887242
356	0.003630054773
357	0.003620417846
358	0.003609431458
359	0.003595968208
360	0.003585409603
361	0.003573724745
362	0.003561001887
363	0.003552098319
364	0.003539214611
365	0.003530232805
366	0.003515535864
367	0.003500972893
368	0.00348629057
369	0.003476078554
370	0.003465543324
371	0.003448474226
372	0.003439811738
373	0.003431926735
374	0.003424805611
375	0.003416796434
376	0.003401833156
377	0.003390359077
378	0.003374020613
379	0.003360012825
380	0.003352062205
381	0.003344443703
382	0.003337260354
383	0.003329910427
384	0.00331597354
385	0.003302662202
386	0.003290762529
387	0.003279680779
388	0.003270076694
389	0.003259943691
390	0.003252618085
391	0.003240883785
392	0.003235248494
393	0.003229555206
394	0.003220086168
395	0.003209526784
396	0.003199127853
397	0.00319205981
398	0.00318499744
399	0.003172474365
400	0.003160535528
401	0.003152725372
402	0.003147550929
403	0.003135389629
404	0.003124274928
405	0.003118160159
406	0.003112094103
407	0.0031045121
408	0.003098059158
409	0.003089100951
410	0.003078841366
411	0.003065890205
412	0.003057177389
413	0.003047034639
414	0.003041184414
415	0.003034971517
416	0.003022358876
417	0.003013558218
418	0.003005078846
419	0.002997871323
420	0.0029910505
421	0.002982878076
422	0.002975155224
423	0.002965799762
424	0.002956250281
425	0.002946958156
426	0.002939400309
427	0.002925386299
428	0.002915658788
429	0.00290869209
430	0.002901502311
431	0.002894054005
432	0.002886303186
433	0.002879841435
434	0.002872244816
435	0.002865540454
436	0.002858662737
437	0.002852905849
438	0.002847882445
439	0.002840694805
440	0.002835481754
441	0.002827994511
442	0.00282147937
443	0.002813516142
444	0.002808188233
445	0.002798819999
446	0.002787931634
447	0.00278056763
448	0.002772151482
449	0.002765327314
450	0.002756301431
451	0.002747412607
452	0.002743101222
453	0.002736549202
454	0.002727651599
455	0.002720870125
456	0.002714255138
457	0.002706968019
458	0.002701363402
459	0.002696021091
460	0.002688497264
461	0.002682625523
462	0.002674447575
463	0.002670108607
464	0.002662718023
465	0.002655394911
466	0.00264845469
467	0.002641977799
468	0.002635577752
469	0.002629708105
470	0.002622854792
471	0.002617340093
472	0.002612225166
473	0.002606449049
474	0.002600892211
475	0.002596131378
476	0.002587308978
477	0.002581900888
478	0.002577184034
479	0.002571819831
480	0.002568259808
481	0.00256173663
482	0.002554955156
483	0.002548979924
484	0.002540903195
485	0.002536745409
486	0.002530357912
487	0.002526110199
488	0.002520882426
489	0.002514269543
490	0.002508514856
491	0.002501189774
492	0.002490521678
493	0.002485378791
494	0.002480117338
495	0.002472324207
496	0.002467934475
497	0.002463179654
498	0.002455939571
499	0.002448015516
500	0.002442325294
501	0.002437864733
502	0.002431103588
503	0.002426416466
504	0.002420148171
505	0.002415348346
506	0.002411756839
507	0.002407591362
508	0.002399803038
509	0.002395270965
510	0.002391384019
511	0.002384251067
512	0.002379738193
513	0.002375206331
514	0.002369727056
515	0.002361910477
516	0.002358524591
517	0.002353935227
518	0.002349407494
519	0.002345950469
520	0.00234113676
521	0.002334922821
522	0.002329862461
523	0.002324833567
524	0.002320137169
525	0.002315915892
526	0.002311236395
527	0.002306280915
528	0.002301402705
529	0.00229359265
530	0.002288386502
531	0.002283475424
532	0.002279981488
533	0.002274829012
534	0.002267733801
535	0.002263727396
536	0.002260743182
537	0.002256772543
538	0.002252448383
539	0.002248127426
540	0.002245279198
541	0.002239556916
542	0.002234465034
543	0.002230734678
544	0.002227581093
545	0.002223154194
546	0.002217779006
547	0.002212513935
548	0.002208362383
549	0.002204060449
550	0.002200245829
551	0.002196249653
552	0.002193105595
553	0.002187841556
554	0.002184382
555	0.002180490883
556	0.002176092653
557	0.002171766067
558	0.00216692701
559	0.002164571452
560	0.002159032708
561	0.00215501983
562	0.00214911809
563	0.002144582593
564	0.002139440272
565	0.002134066888
566	0.002130153949
567	0.002123877173
568	0.002120154148
569	0.00211646287
570	0.002111557161
571	0.002108738241
572	0.002104983353
573	0.00210037061
574	0.002097667484
575	0.00209268818
576	0.002089518584
577	0.00208495184
578	0.002082353956
579	0.002078405365
580	0.002075175937
581	0.002071362626
582	0.002067633372
583	0.002064847248
584	0.002061018838
585	0.002058181167
586	0.002055078056
587	0.002052251545
588	0.002049170423
589	0.002044605402
590	0.002040835689
591	0.002036995204
592	0.002033949783
593	0.002028819816
594	0.002024975401
595	0.002020261529
596	0.002015670741
597	0.002010587969
598	0.002006199656
599	0.00200364223
600	0.002000239291
601	0.001996994061
602	0.001991571907
603	0.001988356972
604	0.001985022321
605	0.001980106798
606	0.001975979468
607	0.00197324832
608	0.001969021787
609	0.001965756724
610	0.001961988462
611	0.00195922994
612	0.001956229382
613	0.00195341062
614	0.001950963813
615	0.001948034389
616	0.001945151176
617	0.001941824222
618	0.001938237978
619	0.001934670093
620	0.001930719493
621	0.001927755035
622	0.001923110207
623	0.001920404116
624	0.001917533364
625	0.001914869612
626	0.00191156081
627	0.00190801526
628	0.001904849038
629	0.00190082333
630	0.001897686796
631	0.001894419183
632	0.001892490339
633	0.001889774313
634	0.001887327359
635	0.001884762359
636	0.001881288932
637	0.001879149685
638	0.001874956807
639	0.001872444681
640	0.001869718938
641	0.001866457281
642	0.001863114368
643	0.00185976815
644	0.001858056371
645	0.001854361752
646	0.001850558729
647	0.001848315068
648	0.001844552823
649	0.001841968441
650	0.001837624709
651	0.001834639645
652	0.00183163788
653	0.001829261287
654	0.001826925374
655	0.001823053118
656	0.001819984802
657	0.001817310952
658	0.001813712782
659	0.001810985325
660	0.001807131267
661	0.001804464225
662	0.001801484116
663	0.001797349705
664	0.001795184233
665	0.001792388004
666	0.001789363499
667	0.00178662887
668	0.001783963646
669	0.001781442499
670	0.001779425646
671	0.001776375834
672	0.001773933886
673	0.001770988119
674	0.001767848523
675	0.00176618829
676	0.001762419404
677	0.001759199368
678	0.001756787678
679	0.001754251726
680	0.001751877354
681	0.001749528333
682	0.00174716783
683	0.001744737786
684	0.001742520779
685	0.00174004997
686	0.001737003946
687	0.001734826693
688	0.001732217318
689	0.001730094828
690	0.001726792343
691	0.001723792068
692	0.001721408511
693	0.001718785523
694	0.00171640552
695	0.001713560671
696	0.001711757211
697	0.001708670918
698	0.001706294798
699	0.001703906185
700	0.001700847443
701	0.001698822837
702	0.001695652558
703	0.001693677956
704	0.001691247102
705	0.001689401279
706	0.001687601306
707	0.00168520092
708	0.001682689487
709	0.001679909733
710	0.001677700443
711	0.001674908061
712	0.001672163644
713	0.00167066111
714	0.001668380755
715	0.001666270484
716	0.001664057594
717	0.001661018849
718	0.001658453473
719	0.001654694045
720	0.001652682706
721	0.001650835928
722	0.001648850896
723	0.001646374496
724	0.001642669998
725	0.001640953737
726	0.001638469484
727	0.001635623212
728	0.001633458121
729	0.001630050192
730	0.001627418489
731	0.001624674119
732	0.001621841695
733	0.001619278474
734	0.001616833096
735	0.001614751001
736	0.001613131941
737	0.0016105674
738	0.001608815698
739	0.001606825848
740	0.001604726829
741	0.001602692261
742	0.00160051136
743	0.001598654828
744	0.001595955838
745	0.001593490489
746	0.001591119171
747	0.001588770104
748	0.001587016345
749	0.001585114631
750	0.001583149619
751	0.001580988983
752	0.001578611851
753	0.00157640704
754	0.001574279475
755	0.001571298333
756	0.001568616593
757	0.001566723389
758	0.001564970554
759	0.001563290717
760	0.001561534691
761	0.001559258845
762	0.001556777725
763	0.001555189436
764	0.001553480268
765	0.001551139109
766	0.001549335684
767	0.001547863852
768	0.001545387006
769	0.001543764244
770	0.001541165558
771	0.001539100035
772	0.001537044455
773	0.001534850681
774	0.001532820913
775	0.001531140855
776	0.001529187384
777	0.001526881829
778	0.001524983682
779	0.001522671544
780	0.001519775538
781	0.001517486402
782	0.001515696402
783	0.001513809477
784	0.001512450627
785	0.001510006773
786	0.001507216202
787	0.001505614493
788	0.001503597653
789	0.001500693418
790	0.001498805596
791	0.001497245179
792	0.001494396159
793	0.001492969575
794	0.001491316343
795	0.001489279701
796	0.001487725092
797	0.001485639694
798	0.001482431704
799	0.001481118646
800	0.001479370628
801	0.001477929134
802	0.00147638875
803	0.001474407296
804	0.001472685429
805	0.001471103664
806	0.001469645693
807	0.001466997227
808	0.001464892528
809	0.001462728202
810	0.001460929772
811	0.001459374036
812	0.001456755983
813	0.001454656815
814	0.001452760926
815	0.001450794279
816	0.001449084861
817	0.001446553144
818	0.001444324854
819	0.001442466316
820	0.001440739794
821	0.001438860114
822	0.001437165676
823	0.001435425079
824	0.001433144094
825	0.001431986221
826	0.001430055866
827	0.001428743649
828	0.001426281272
829	0.001425147536
830	0.001423476773
831	0.001421858194
832	0.001420468443
833	0.001418559584
834	0.001416800551
835	0.00141475107
836	0.001413125392
837	0.001411051461
838	0.00140879764
839	0.001407107921
840	0.001405327373
841	0.001404171822
842	0.001402456293
843	0.001401046986
844	0.00139912411
845	0.001397308305
846	0.001395679491
847	0.001394289912
848	0.001392420767
849	0.001390940167
850	0.001388931444
851	0.001387300133
852	0.001385069749
853	0.001383406058
854	0.001381034308
855	0.001379774283
856	0.00137866762
857	0.001377285831
858	0.001375953396
859	0.001374388076
860	0.001372462573
861	0.001369748134
862	0.001367691271
863	0.001366200542
864	0.001364898079
865	0.001362029103
866	0.001360438019
867	0.001358812602
868	0.001357361934
869	0.001356227769
870	0.001354397876
871	0.001352919596
872	0.001351327165
873	0.001349795764
874	0.001348564517
875	0.001346814481
876	0.001344958797
877	0.001342946548
878	0.00134139561
879	0.001339680281
880	0.001337862416
881	0.001336580673
882	0.001335382898
883	0.001334216915
884	0.001332725585
885	0.001331297673
886	0.001329802831
887	0.001327563544
888	0.001324989526
889	0.001323287053
890	0.001321816116
891	0.001320379377
892	0.001319065009
893	0.001317350093
894	0.001316014223
895	0.001314211584
896	0.001312987619
897	0.001311540184
898	0.001310118304
899	0.001308703442
900	0.001306845
901	0.001305806822
902	0.0013038289
903	0.001301951802
904	0.001299613652
905	0.001298041071
906	0.001296494562
907	0.001295378775
908	0.001293762069
909	0.001292262455
910	0.00129021103
911	0.001288175328
912	0.001286487927
913	0.001285289889
914	0.001284112505
915	0.001283000286
916	0.001281853486
917	0.001280217991
918	0.001278388893
919	0.001276931416
920	0.001275618456
921	0.001274327127
922	0.001273207388
923	0.00127159458
924	0.001269939501
925	0.001267983427
926	0.001267107986
927	0.001265469892
928	0.001264149426
929	0.001262736548
930	0.001261461745
931	0.00126002443
932	0.001258803831
933	0.001257217305
934	0.001255954458
935	0.001254910388
936	0.00125379035
937	0.001252454198
938	0.001250943188
939	0.001249335565
940	0.001247720003
941	0.001245652733
942	0.001244138994
943	0.001242914823
944	0.001241652663
945	0.001239641543
946	0.001238291496
947	0.001237018037
948	0.001235683239
949	0.001234378483
950	0.001232856612
951	0.001231217112
952	0.001229675064
953	0.001228627616
954	0.001227054466
955	0.001226054461
956	0.001224474225
957	0.001223219758
958	0.00122210462
959	0.001220804836
960	0.001219547504
961	0.001217789319
962	0.001216657688
963	0.001214801249
964	0.001213239608
965	0.001212190256
966	0.001211157461
967	0.00121009378
968	0.00120844482
969	0.001207224459
970	0.001205744906
971	0.001204803124
972	0.001203798238
973	0.00120255515
974	0.001201441991
975	0.001200383913
976	0.001199321721
977	0.001197781387
978	0.001196547724
979	0.001194700282
980	0.00119354996
981	0.001192280344
982	0.001190757837
983	0.001189468797
984	0.001188130511
985	0.001186737759
986	0.001185567887
987	0.001184022128
988	0.001182764066
989	0.00118115177
990	0.001179859445
991	0.001178103468
992	0.001176850304
993	0.00117567976
994	0.001174262944
995	0.001173005806
996	0.001171481212
997	0.001170330864
998	0.001169532738
999	0.001168269174
